,Data type,Cancer group/site,Year,Sex,State or Territory,Count,"Age-standardised rate
2001 Australian Standard Population 
(per 100,000)","Age-standardised rate
2023 Australian population 
(per 100,000)",,ICD-10 codes
36893,Incidence,Melanoma of the skin,1982,Males,Victoria,279,16.8,19.2, ,C43
36894,Incidence,Melanoma of the skin,1982,Males,Queensland,472,49.3,56.9, ,C43
36895,Incidence,Melanoma of the skin,1982,Males,Western Australia,164,31.1,35.6, ,C43
36896,Incidence,Melanoma of the skin,1982,Males,South Australia,121,21.4,23.1, ,C43
36897,Incidence,Melanoma of the skin,1982,Males,Tasmania,30,17.6,19.5, ,C43
36898,Incidence,Melanoma of the skin,1982,Males,Australian Capital Territory,0,. .,. ., ,C43
36899,Incidence,Melanoma of the skin,1982,Males,Northern Territory,0,. .,. ., ,C43
36900,Incidence,Melanoma of the skin,1982,Males,Australia,1736,27.9,31.9, ,C43
36901,Incidence,Melanoma of the skin,1982,Females,New South Wales,651,26.2,28.1, ,C43
36902,Incidence,Melanoma of the skin,1982,Females,Victoria,365,19.9,21.8, ,C43
36903,Incidence,Melanoma of the skin,1982,Females,Queensland,427,40.8,43.7, ,C43
36904,Incidence,Melanoma of the skin,1982,Females,Western Australia,173,30.6,33.5, ,C43
36905,Incidence,Melanoma of the skin,1982,Females,South Australia,127,21.1,22.2, ,C43
36906,Incidence,Melanoma of the skin,1982,Females,Tasmania,38,20.1,22.5, ,C43
36907,Incidence,Melanoma of the skin,1982,Females,Australian Capital Territory,0,. .,. ., ,C43
36908,Incidence,Melanoma of the skin,1982,Females,Northern Territory,0,. .,. ., ,C43
36909,Incidence,Melanoma of the skin,1982,Females,Australia,1802,26.3,28.4, ,C43
36910,Incidence,Melanoma of the skin,1982,Persons,New South Wales,1301,27,30, ,C43
36911,Incidence,Melanoma of the skin,1982,Persons,Victoria,644,18.4,20.5, ,C43
36912,Incidence,Melanoma of the skin,1982,Persons,Queensland,899,44.2,49.1, ,C43
36913,Incidence,Melanoma of the skin,1982,Persons,Western Australia,337,30.6,34.2, ,C43
36914,Incidence,Melanoma of the skin,1982,Persons,South Australia,248,21.2,22.7, ,C43
36915,Incidence,Melanoma of the skin,1982,Persons,Tasmania,68,18.8,21.1, ,C43
36916,Incidence,Melanoma of the skin,1982,Persons,Australian Capital Territory,0,. .,. ., ,C43
36917,Incidence,Melanoma of the skin,1982,Persons,Northern Territory,0,. .,. ., ,C43
36918,Incidence,Melanoma of the skin,1982,Persons,Australia,3538,26.7,29.6, ,C43
36919,Incidence,Melanoma of the skin,1983,Males,New South Wales,693,31.1,36, ,C43
36920,Incidence,Melanoma of the skin,1983,Males,Victoria,319,18.8,21.6, ,C43
36921,Incidence,Melanoma of the skin,1983,Males,Queensland,456,45.2,52.8, ,C43
36922,Incidence,Melanoma of the skin,1983,Males,Western Australia,165,31,35.7, ,C43
36923,Incidence,Melanoma of the skin,1983,Males,South Australia,120,20.8,23.7, ,C43
36924,Incidence,Melanoma of the skin,1983,Males,Tasmania,31,17.8,20.8, ,C43
36925,Incidence,Melanoma of the skin,1983,Males,Australian Capital Territory,0,. .,. ., ,C43
36926,Incidence,Melanoma of the skin,1983,Males,Northern Territory,0,. .,. ., ,C43
36927,Incidence,Melanoma of the skin,1983,Males,Australia,1820,28.8,33.3, ,C43
36928,Incidence,Melanoma of the skin,1983,Females,New South Wales,730,29.3,31.3, ,C43
36929,Incidence,Melanoma of the skin,1983,Females,Victoria,402,21.8,24, ,C43
36930,Incidence,Melanoma of the skin,1983,Females,Queensland,461,41.5,44.4, ,C43
36931,Incidence,Melanoma of the skin,1983,Females,Western Australia,165,27.4,29.8, ,C43
36932,Incidence,Melanoma of the skin,1983,Females,South Australia,148,23.3,25.4, ,C43
36933,Incidence,Melanoma of the skin,1983,Females,Tasmania,45,23.7,25.8, ,C43
36934,Incidence,Melanoma of the skin,1983,Females,Australian Capital Territory,0,. .,. ., ,C43
36935,Incidence,Melanoma of the skin,1983,Females,Northern Territory,0,. .,. ., ,C43
36936,Incidence,Melanoma of the skin,1983,Females,Australia,1979,28.2,30.4, ,C43
36937,Incidence,Melanoma of the skin,1983,Persons,New South Wales,1423,29.6,32.8, ,C43
36938,Incidence,Melanoma of the skin,1983,Persons,Victoria,721,20.3,22.8, ,C43
36939,Incidence,Melanoma of the skin,1983,Persons,Queensland,917,42.5,47.4, ,C43
36940,Incidence,Melanoma of the skin,1983,Persons,Western Australia,330,28.8,32.1, ,C43
36941,Incidence,Melanoma of the skin,1983,Persons,South Australia,268,21.9,24.4, ,C43
36942,Incidence,Melanoma of the skin,1983,Persons,Tasmania,76,20.8,23.5, ,C43
36943,Incidence,Melanoma of the skin,1983,Persons,Australian Capital Territory,0,. .,. ., ,C43
36944,Incidence,Melanoma of the skin,1983,Persons,Northern Territory,0,. .,. ., ,C43
36945,Incidence,Melanoma of the skin,1983,Persons,Australia,3799,28.1,31.3, ,C43
36946,Incidence,Melanoma of the skin,1984,Males,New South Wales,762,33.8,39.4, ,C43
36947,Incidence,Melanoma of the skin,1984,Males,Victoria,331,19.1,21.9, ,C43
36948,Incidence,Melanoma of the skin,1984,Males,Queensland,535,52.7,60.6, ,C43
36949,Incidence,Melanoma of the skin,1984,Males,Western Australia,173,31.5,36.5, ,C43
36950,Incidence,Melanoma of the skin,1984,Males,South Australia,124,21.4,24.2, ,C43
36951,Incidence,Melanoma of the skin,1984,Males,Tasmania,31,18.1,20.7, ,C43
36952,Incidence,Melanoma of the skin,1984,Males,Australian Capital Territory,0,. .,. ., ,C43
36953,Incidence,Melanoma of the skin,1984,Males,Northern Territory,0,. .,. ., ,C43
36954,Incidence,Melanoma of the skin,1984,Males,Australia,1994,31.2,36, ,C43
36955,Incidence,Melanoma of the skin,1984,Females,New South Wales,738,29.3,31.8, ,C43
36956,Incidence,Melanoma of the skin,1984,Females,Victoria,414,21.8,23.9, ,C43
