,Postcodes,Suburbs,State,Latitude,Longitude
0,3000,Melbourne,VIC,-37.81,144.97
1,3001,Melbourne,VIC,-38.37,144.77
2,3002,East Melbourne,VIC,-37.82,144.99
3,3003,West Melbourne,VIC,-37.81,144.94
4,3004,Melbourne,VIC,-37.84,144.98
5,3004,St Kilda Road Central,VIC,-37.84,144.98
6,3005,World Trade Centre,VIC,-37.82,144.95
7,3006,South Wharf,VIC,-37.82,144.97
8,3006,Southbank,VIC,-37.82,144.97
9,3008,Docklands,VIC,-37.81,144.95
10,3010,University Of Melbourne,VIC,-37.8,144.96
11,3011,Footscray,VIC,-37.8,144.9
12,3011,Seddon,VIC,-37.8,144.9
13,3011,Seddon West,VIC,-37.8,144.9
14,3012,Brooklyn,VIC,-37.81,144.85
15,3012,Kingsville,VIC,-37.81,144.85
16,3012,Kingsville West,VIC,-37.81,144.85
17,3012,Maidstone,VIC,-37.81,144.85
18,3012,Tottenham,VIC,-37.81,144.85
19,3012,West Footscray,VIC,-37.81,144.85
20,3013,Yarraville,VIC,-37.82,144.89
21,3013,Yarraville West,VIC,-37.82,144.89
22,3015,Newport,VIC,-37.84,144.88
23,3015,South Kingsville,VIC,-37.84,144.88
24,3015,Spotswood,VIC,-37.84,144.88
25,3016,Williamstown,VIC,-37.86,144.9
26,3016,Williamstown North,VIC,-37.86,144.9
27,3018,Altona,VIC,-37.87,144.83
28,3018,Seaholme,VIC,-37.87,144.83
29,3019,Braybrook,VIC,-37.78,144.86
30,3019,Braybrook North,VIC,-37.78,144.86
31,3019,Robinson,VIC,-37.78,144.86
32,3020,Albion,VIC,-37.78,144.82
33,3020,Glengala,VIC,-37.78,144.82
34,3020,Sunshine,VIC,-37.78,144.82
35,3020,Sunshine North,VIC,-37.78,144.82
36,3020,Sunshine West,VIC,-37.78,144.82
37,3021,Albanvale,VIC,-37.75,144.77
38,3021,Kealba,VIC,-37.75,144.77
39,3021,Kings Park,VIC,-37.75,144.77
40,3021,St Albans,VIC,-37.75,144.77
41,3022,Ardeer,VIC,-37.78,144.8
42,3022,Deer Park East,VIC,-37.78,144.8
43,3023,Burnside,VIC,-37.75,144.75
44,3023,Burnside Heights,VIC,-37.75,144.75
45,3023,Cairnlea,VIC,-37.75,144.75
46,3023,Caroline Springs,VIC,-37.75,144.75
47,3023,Deer Park,VIC,-37.75,144.75
48,3023,Deer Park North,VIC,-37.75,144.75
49,3023,Ravenhall,VIC,-37.75,144.75
50,3024,Mambourin,VIC,-37.9,144.56
51,3024,Mount Cottrell,VIC,-37.9,144.56
52,3024,Wyndham Vale,VIC,-37.9,144.56
53,3025,Altona East,VIC,-37.84,144.86
54,3025,Altona Gate,VIC,-37.84,144.86
55,3025,Altona North,VIC,-37.84,144.86
56,3026,Laverton North,VIC,-37.84,144.8
57,3027,Williams Landing,VIC,-37.86,144.76
58,3028,Altona Meadows,VIC,-37.87,144.78
59,3028,Laverton,VIC,-37.87,144.78
60,3028,Seabrook,VIC,-37.87,144.78
61,3029,Hoppers Crossing,VIC,-37.88,144.7
62,3029,Tarneit,VIC,-37.88,144.7
63,3029,Truganina,VIC,-37.88,144.7
64,3030,Cocoroc,VIC,-37.97,144.58
65,3030,Derrimut,VIC,-37.97,144.58
66,3030,Point Cook,VIC,-37.97,144.58
67,3030,Quandong,VIC,-37.97,144.58
68,3030,Werribee,VIC,-37.97,144.58
69,3030,Werribee South,VIC,-37.97,144.58
70,3031,Flemington,VIC,-37.79,144.93
71,3031,Kensington,VIC,-37.79,144.93
72,3032,Ascot Vale,VIC,-37.78,144.92
73,3032,Highpoint City,VIC,-37.78,144.92
74,3032,Maribyrnong,VIC,-37.78,144.92
75,3032,Travancore,VIC,-37.78,144.92
76,3033,Keilor East,VIC,-37.74,144.8
77,3034,Avondale Heights,VIC,-37.74,144.82
78,3036,Keilor,VIC,-37.72,144.83
79,3036,Keilor North,VIC,-37.72,144.83
80,3037,Calder Park,VIC,-37.72,144.78
81,3037,Delahey,VIC,-37.72,144.78
82,3037,Hillside,VIC,-37.72,144.78
83,3037,Sydenham,VIC,-37.72,144.78
84,3037,Taylors Hill,VIC,-37.72,144.78
85,3038,Keilor Downs,VIC,-37.73,144.81
86,3038,Keilor Lodge,VIC,-37.73,144.81
87,3038,Taylors Lakes,VIC,-37.73,144.81
88,3038,Watergardens,VIC,-37.73,144.81
89,3039,Moonee Ponds,VIC,-37.77,144.92
90,3040,Aberfeldie,VIC,-37.76,144.9
91,3040,Essendon,VIC,-37.76,144.9
92,3040,Essendon West,VIC,-37.76,144.9
93,3041,Essendon Fields,VIC,-37.74,144.91
94,3041,Essendon North,VIC,-37.74,144.91
95,3041,Strathmore,VIC,-37.74,144.91
96,3041,Strathmore Heights,VIC,-37.74,144.91
97,3042,Airport West,VIC,-37.71,144.89
98,3042,Keilor Park,VIC,-37.71,144.89
99,3042,Niddrie,VIC,-37.71,144.89
100,3043,Gladstone Park,VIC,-37.69,144.88
101,3043,Gowanbrae,VIC,-37.69,144.88
102,3043,Tullamarine,VIC,-37.69,144.88
103,3044,Pascoe Vale,VIC,-37.73,144.94
104,3044,Pascoe Vale South,VIC,-37.73,144.94
105,3045,Melbourne Airport,VIC,-37.67,144.83
106,3046,Glenroy,VIC,-37.7,144.92
107,3046,Hadfield,VIC,-37.7,144.92
108,3046,Oak Park,VIC,-37.7,144.92
109,3047,Broadmeadows,VIC,-37.68,144.92
110,3047,Dallas,VIC,-37.68,144.92
111,3047,Jacana,VIC,-37.68,144.92
112,3048,Coolaroo,VIC,-37.65,144.93
113,3048,Meadow Heights,VIC,-37.65,144.93
114,3049,Attwood,VIC,-37.67,144.89
115,3049,Westmeadows,VIC,-37.67,144.89
116,3050,Royal Melbourne Hospital,VIC,-37.8,144.96
117,3051,Hotham Hill,VIC,-37.91,145.06
118,3051,North Melbourne,VIC,-37.91,145.06
119,3052,Melbourne University,VIC,-37.8,144.96
120,3052,Parkville,VIC,-37.8,144.96
121,3053,Carlton,VIC,-37.78,144.97
122,3053,Carlton South,VIC,-37.78,144.97
123,3054,Carlton North,VIC,-37.78,144.97
124,3054,Princes Hill,VIC,-37.78,144.97
125,3055,Brunswick South,VIC,-37.77,144.94
126,3055,Brunswick West,VIC,-37.77,144.94
127,3055,Moonee Vale,VIC,-37.77,144.94
128,3055,Moreland West,VIC,-37.77,144.94
129,3056,Brunswick,VIC,-37.76,144.94
130,3056,Brunswick Lower,VIC,-37.76,144.94
131,3056,Brunswick North,VIC,-37.76,144.94
132,3057,Brunswick East,VIC,-37.76,144.98
133,3057,Lygon Street North,VIC,-37.76,144.98
134,3057,Sumner,VIC,-37.76,144.98
135,3058,Batman,VIC,-37.73,144.96
136,3058,Coburg,VIC,-37.73,144.96
137,3058,Coburg North,VIC,-37.73,144.96
138,3058,Merlynston,VIC,-37.73,144.96
139,3058,Moreland,VIC,-37.73,144.96
140,3059,Greenvale,VIC,-37.64,144.89
141,3060,Fawkner,VIC,-37.76,144.9
142,3060,Fawkner East,VIC,-37.76,144.9
143,3060,Fawkner North,VIC,-37.76,144.9
144,3061,Campbellfield,VIC,-37.64,144.95
145,3062,Somerton,VIC,-37.64,144.94
146,3063,Oaklands Junction,VIC,-37.63,144.84
147,3063,Yuroke,VIC,-37.63,144.84
148,3064,Craigieburn,VIC,-37.6,144.94
149,3064,Donnybrook,VIC,-37.6,144.94
150,3064,Kalkallo,VIC,-37.6,144.94
151,3064,Mickleham,VIC,-37.6,144.94
152,3064,Roxburgh Park,VIC,-37.6,144.94
153,3065,Fitzroy,VIC,-37.8,144.98
154,3066,Collingwood,VIC,-37.8,144.98
155,3066,Collingwood North,VIC,-37.8,144.98
156,3067,Abbotsford,VIC,-37.8,145.0
157,3068,Clifton Hill,VIC,-37.79,144.99
158,3068,Fitzroy North,VIC,-37.79,144.99
159,3070,Northcote,VIC,-37.77,145.0
160,3070,Northcote South,VIC,-37.77,145.0
161,3071,Thornbury,VIC,-37.76,145.0
162,3072,Gilberton,VIC,-37.74,145.03
163,3072,Northland Centre,VIC,-37.74,145.03
164,3072,Preston,VIC,-37.74,145.03
165,3072,Preston Lower,VIC,-37.74,145.03
166,3072,Preston South,VIC,-37.74,145.03
167,3072,Preston West,VIC,-37.74,145.03
168,3072,Regent West,VIC,-37.74,145.03
169,3073,Keon Park,VIC,-37.69,145.01
170,3073,Reservoir,VIC,-37.69,145.01
171,3073,Reservoir East,VIC,-37.69,145.01
172,3073,Reservoir North,VIC,-37.69,145.01
173,3073,Reservoir South,VIC,-37.69,145.01
174,3074,Thomastown,VIC,-37.68,145.01
175,3075,Lalor,VIC,-37.67,145.02
176,3075,Lalor Plaza,VIC,-37.67,145.02
177,3076,Epping,VIC,-37.64,145.01
178,3076,Epping DC,VIC,-37.64,145.01
179,3078,Alphington,VIC,-37.78,145.03
180,3078,Fairfield,VIC,-37.78,145.03
181,3079,Ivanhoe,VIC,-37.77,145.04
182,3079,Ivanhoe East,VIC,-37.77,145.04
183,3079,Ivanhoe North,VIC,-37.77,145.04
184,3081,Bellfield,VIC,-37.75,145.05
185,3081,Heidelberg Heights,VIC,-37.75,145.05
186,3081,Heidelberg Rgh,VIC,-37.75,145.05
187,3081,Heidelberg West,VIC,-37.75,145.05
188,3082,Mill Park,VIC,-37.67,145.06
189,3083,Bundoora,VIC,-37.7,145.07
190,3083,Kingsbury,VIC,-37.7,145.07
191,3083,La Trobe University,VIC,-37.7,145.07
192,3084,Banyule,VIC,-37.74,145.09
193,3084,Eaglemont,VIC,-37.74,145.09
194,3084,Heidelberg,VIC,-37.74,145.09
195,3084,Rosanna,VIC,-37.74,145.09
196,3084,Viewbank,VIC,-37.74,145.09
